PersonUrn,Label,Description,Status,Redirect,StemClass
urn:cite:hmt:pers.pers273,Anchises,"father of Aeneas",proposed,,
urn:cite:hmt:pers.pers274,Clytius,"brother of Priam",proposed,,
urn:cite:hmt:pers.pers275,Cteatus,"son of Actor and Molione",proposed,,
urn:cite:hmt:pers.pers276,Podargus,"one of Hector's horses",proposed,,
urn:cite:hmt:pers.pers277,Peteus,"son of Orneus, father of Menestheus",proposed,,
urn:cite:hmt:pers.pers278,Aidos,"goddess of shame, modesty, and humility",proposed,,
urn:cite:hmt:pers.pers279,Simonides,"of Ceos, Greek lyric poet",proposed,,
urn:cite:hmt:pers.pers280,Theseus,"mythical king of Athens",proposed,,
urn:cite:hmt:pers.pers281,Ajax,"The lesser, son of Oileus",proposed,,
urn:cite:hmt:pers.pers282,Iris,"personification a rainbow, messenger of the gods",proposed,,
urn:cite:hmt:pers.pers283,Epaphroditus,"Marcus Mettius Epaphroditus, of Chaeroneia, 1st century grammarian, according the Suda wrote a commentary on the Iliad and Odyssey",proposed,,
urn:cite:hmt:pers.pers284,Penelope,"Odysseus' wife",proposed,,
urn:cite:hmt:pers.pers285,Tlepolemus,"Son of Hercules",proposed,,
urn:cite:hmt:pers.pers286,Eos,"personification of Dawn, Aurora",proposed,,
urn:cite:hmt:pers.pers287,Idomeneus,"Son of Deucalion and grandson of Minos",proposed,,
urn:cite:hmt:pers.pers288,Protesilaos,"first Greek killed in the Trojan War",proposed,,
urn:cite:hmt:pers.pers289,Epeos,"builder of the Trojan Horse",proposed,,
urn:cite:hmt:pers.pers291,Philoctetes,"the son of King Poeas of Meliboea in Thessaly, marooned because of a snake bite",proposed,,
urn:cite:hmt:pers.pers292,Heraclids,"DO NOT USE ",rejected,,
urn:cite:hmt:pers.pers293,Hodius,"Herald of the Greeks",proposed,,
urn:cite:hmt:pers.pers294,Eurybates,"Herald of Odysseus",proposed,,
urn:cite:hmt:pers.pers295,Asphalion,"Servant of Menelaus",proposed,,
urn:cite:hmt:pers.pers296,Thootes,"Herald of Menestheus",proposed,,
urn:cite:hmt:pers.pers297,Io,"Daughter of Inachus, rape victim of Zeus",proposed,,
urn:cite:hmt:pers.pers298,Myrtilus,"charioteer of Oenomaus, who aids Pelops, but then curses him",proposed,,
urn:cite:hmt:pers.pers299,Pythagoras,"Greek philosopher and mathematician",proposed,,
urn:cite:hmt:pers.pers300,Aristotle,"Greek philosopher",proposed,,
urn:cite:hmt:pers.pers301,Epaphus,"Son of Io",proposed,,
urn:cite:hmt:pers.pers302,Chrysippus,"Son of Pelops",proposed,,
urn:cite:hmt:pers.pers303,Hellanicus,"5th century logographer of Lesbos",proposed,,
urn:cite:hmt:pers.pers304,Niobi,"Daughter of Tantalus",proposed,,
urn:cite:hmt:pers.pers305,Litai,"Litae, spirits of prayer, daughters of Zeus",proposed,,
urn:cite:hmt:pers.pers306,Dionysidorus,"Alexandrian grammarian, school of Aristarchus",proposed,,
urn:cite:hmt:pers.pers307,Ammonius,"the Alexandrian, a disciple of Aristarchus,author of the Athenoclea",proposed,,
urn:cite:hmt:pers.pers308,"Ptolemy Epithetes",Grammarian,proposed,,
urn:cite:hmt:pers.pers309,Callistratus,Grammarian,proposed,,
urn:cite:hmt:pers.pers310,Thersites,"common solider on the Greek side, ill-spoken rabble-rouser",proposed,,
urn:cite:hmt:pers.pers311,Xenophon,"Athenian writer",proposed,,
urn:cite:hmt:pers.pers312,Meleager,"son of Althea and Oeneus, host of the Calydonian boar hunt",proposed,,
urn:cite:hmt:pers.pers313,Agrius,"father of Thersites",proposed,,
urn:cite:hmt:pers.pers314,Porthaon,"king of Calydon, son of Oeneus",proposed,,
urn:cite:hmt:pers.pers315,Icarus,"or Icarius, son of Daedalus",proposed,,
urn:cite:hmt:pers.pers316,Daedalus,"mad scientist of ancient Greece",proposed,,
urn:cite:hmt:pers.pers317,Pasiphae,"wife of King Minos",proposed,,
urn:cite:hmt:pers.pers318,Cocalus,"King of Camicos in Sicily",proposed,,
urn:cite:hmt:pers.pers319,Philostephanus,"of Cyrene, pupil of Callimachus",proposed,,
urn:cite:hmt:pers.pers320,Zephyrus,"the personification of the West wind",proposed,,
